timestamp,latitude,longitude,altitude,accuracy,roll,pitch,yaw
0.000,37.77490000,-122.41940000,49.920,0.8,0.00,-34.50,0.00
0.033,37.77490150,-122.41939991,49.881,0.8,0.05,-34.50,0.01
0.067,37.77490300,-122.41939981,49.984,0.8,0.10,-34.50,0.03
0.100,37.77490450,-122.41939972,49.845,0.8,0.15,-34.50,0.04
0.133,37.77490601,-122.41939962,49.917,0.8,0.20,-34.50,0.05
0.167,37.77490751,-122.41939953,49.820,0.8,0.25,-34.51,0.07
0.200,37.77490901,-122.41939943,50.295,0.8,0.30,-34.51,0.08
0.233,37.77491051,-122.41939934,50.005,0.8,0.34,-34.51,0.09
0.267,37.77491201,-122.41939924,49.895,0.8,0.39,-34.52,0.11
0.300,37.77491351,-122.41939915,50.032,0.8,0.43,-34.52,0.12
0.333,37.77491502,-122.41939905,49.983,0.8,0.48,-34.53,0.13
0.367,37.77491652,-122.41939896,49.967,0.8,0.52,-34.53,0.14
0.400,37.77491802,-122.41939887,50.092,0.8,0.56,-34.54,0.16
0.433,37.77491952,-122.41939877,50.114,0.8,0.61,-34.55,0.17
0.467,37.77492102,-122.41939868,49.920,0.8,0.64,-34.55,0.18
0.500,37.77492252,-122.41939859,49.914,0.8,0.68,-34.56,0.19
0.533,37.77492402,-122.41939850,49.959,0.8,0.72,-34.57,0.21
0.567,37.77492553,-122.41939841,49.655,0.8,0.75,-34.58,0.22
0.600,37.77492703,-122.41939832,49.773,0.8,0.78,-34.59,0.23
0.633,37.77492853,-122.41939823,50.205,0.8,0.81,-34.60,0.24
0.667,37.77493003,-122.41939814,50.247,0.8,0.84,-34.61,0.25
0.700,37.77493153,-122.41939805,49.963,0.8,0.87,-34.62,0.27
0.733,37.77493303,-122.41939796,50.086,0.8,0.89,-34.63,0.28
0.767,37.77493453,-122.41939787,50.047,0.8,0.91,-34.64,0.29
0.800,37.77493604,-122.41939778,50.462,0.8,0.93,-34.65,0.30
0.833,37.77493754,-122.41939769,50.168,0.8,0.95,-34.66,0.31
0.867,37.77493904,-122.41939761,49.981,0.8,0.96,-34.68,0.32
0.900,37.77494054,-122.41939752,49.857,0.8,0.98,-34.69,0.33
0.933,37.77494204,-122.41939744,49.759,0.8,0.99,-34.70,0.34
0.967,37.77494354,-122.41939735,50.031,0.8,0.99,-34.72,0.35
1.000,37.77494505,-122.41939727,49.887,0.8,1.00,-34.73,0.36
1.033,37.77494655,-122.41939718,49.787,0.8,1.00,-34.74,0.37
1.067,37.77494805,-122.41939710,49.903,0.8,1.00,-34.76,0.38
1.100,37.77494955,-122.41939702,49.838,0.8,1.00,-34.77,0.39
1.133,37.77495105,-122.41939694,50.253,0.8,0.99,-34.79,0.39
1.167,37.77495255,-122.41939686,50.132,0.8,0.98,-34.80,0.40
1.200,37.77495405,-122.41939678,49.999,0.8,0.97,-34.82,0.41
1.233,37.77495556,-122.41939670,50.222,0.8,0.96,-34.83,0.42
1.267,37.77495706,-122.41939663,50.012,0.8,0.95,-34.85,0.42
1.300,37.77495856,-122.41939655,49.871,0.8,0.93,-34.87,0.43
1.333,37.77496006,-122.41939648,50.228,0.8,0.91,-34.88,0.44
1.367,37.77496156,-122.41939640,50.081,0.8,0.89,-34.90,0.44
1.400,37.77496306,-122.41939633,49.844,0.8,0.86,-34.92,0.45
1.433,37.77496456,-122.41939626,49.971,0.8,0.84,-34.93,0.46
1.467,37.77496607,-122.41939619,49.869,0.8,0.81,-34.95,0.46
1.500,37.77496757,-122.41939612,49.793,0.8,0.78,-34.96,0.47
1.533,37.77496907,-122.41939605,50.139,0.8,0.75,-34.98,0.47
1.567,37.77497057,-122.41939598,50.286,0.8,0.71,-35.00,0.48
1.600,37.77497207,-122.41939591,49.790,0.8,0.68,-35.01,0.48
1.633,37.77497357,-122.41939585,50.084,0.8,0.64,-35.03,0.48
1.667,37.77497508,-122.41939578,49.902,0.8,0.60,-35.05,0.49
1.700,37.77497658,-122.41939572,49.927,0.8,0.56,-35.06,0.49
1.733,37.77497808,-122.41939566,49.911,0.8,0.52,-35.08,0.49
1.767,37.77497958,-122.41939560,49.870,0.8,0.47,-35.10,0.49
1.800,37.77498108,-122.41939554,50.007,0.8,0.43,-35.11,0.50
1.833,37.77498258,-122.41939548,49.875,0.8,0.38,-35.13,0.50
1.867,37.77498408,-122.41939542,50.041,0.8,0.33,-35.15,0.50
1.900,37.77498559,-122.41939536,49.992,0.8,0.29,-35.16,0.50
1.933,37.77498709,-122.41939531,49.964,0.8,0.24,-35.18,0.50
1.967,37.77498859,-122.41939526,49.864,0.8,0.19,-35.19,0.50
2.000,37.77499009,-122.41939520,49.913,0.8,0.14,-35.21,0.50
2.033,37.77499159,-122.41939515,50.113,0.8,0.09,-35.22,0.50
2.067,37.77499309,-122.41939510,50.075,0.8,0.04,-35.24,0.50
2.100,37.77499459,-122.41939506,49.853,0.8,-0.01,-35.25,0.50
2.133,37.77499610,-122.41939501,50.015,0.8,-0.06,-35.27,0.50
2.167,37.77499760,-122.41939496,50.113,0.8,-0.11,-35.28,0.49
2.200,37.77499910,-122.41939492,49.750,0.8,-0.16,-35.29,0.49
2.233,37.77500060,-122.41939488,50.082,0.8,-0.21,-35.31,0.49
2.267,37.77500210,-122.41939484,49.901,0.8,-0.26,-35.32,0.49
2.300,37.77500360,-122.41939480,50.086,0.8,-0.30,-35.33,0.48
2.333,37.77500511,-122.41939476,49.886,0.8,-0.35,-35.35,0.48
2.367,37.77500661,-122.41939472,49.729,0.8,-0.40,-35.36,0.47
2.400,37.77500811,-122.41939469,49.756,0.8,-0.44,-35.37,0.47
2.433,37.77500961,-122.41939465,50.007,0.8,-0.49,-35.38,0.47
2.467,37.77501111,-122.41939462,50.039,0.8,-0.53,-35.39,0.46
2.500,37.77501261,-122.41939459,49.864,0.8,-0.57,-35.40,0.45
2.533,37.77501411,-122.41939456,50.096,0.8,-0.61,-35.41,0.45
2.567,37.77501562,-122.41939453,49.751,0.8,-0.65,-35.42,0.44
2.600,37.77501712,-122.41939451,49.990,0.8,-0.69,-35.43,0.44
2.633,37.77501862,-122.41939448,49.818,0.8,-0.72,-35.44,0.43
2.667,37.77502012,-122.41939446,49.902,0.8,-0.76,-35.44,0.42
2.700,37.77502162,-122.41939444,50.007,0.8,-0.79,-35.45,0.42
2.733,37.77502312,-122.41939442,49.871,0.8,-0.82,-35.46,0.41
2.767,37.77502462,-122.41939440,49.942,0.8,-0.85,-35.47,0.40
2.800,37.77502613,-122.41939438,50.151,0.8,-0.87,-35.47,0.39
2.833,37.77502763,-122.41939437,49.913,0.8,-0.89,-35.48,0.38
2.867,37.77502913,-122.41939435,50.125,0.8,-0.92,-35.48,0.38
2.900,37.77503063,-122.41939434,49.831,0.8,-0.94,-35.49,0.37
2.933,37.77503213,-122.41939433,50.079,0.8,-0.95,-35.49,0.36
2.967,37.77503363,-122.41939432,50.216,0.8,-0.97,-35.49,0.35
3.000,37.77503514,-122.41939432,49.629,0.8,-0.98,-35.49,0.34
3.033,37.77503664,-122.41939431,49.880,0.8,-0.99,-35.50,0.33
3.067,37.77503814,-122.41939431,50.087,0.8,-0.99,-35.50,0.32
3.100,37.77503964,-122.41939430,49.970,0.8,-1.00,-35.50,0.31
3.133,37.77504114,-122.41939430,50.056,0.8,-1.00,-35.50,0.30
3.167,37.77504264,-122.41939430,49.909,0.8,-1.00,-35.50,0.29
3.200,37.77504414,-122.41939430,50.013,0.8,-1.00,-35.50,0.27
3.233,37.77504565,-122.41939431,49.977,0.8,-0.99,-35.50,0.26
3.267,37.77504715,-122.41939431,50.175,0.8,-0.98,-35.50,0.25
3.300,37.77504865,-122.41939432,50.038,0.8,-0.97,-35.49,0.24
3.333,37.77505015,-122.41939433,50.051,0.8,-0.96,-35.49,0.23
3.367,37.77505165,-122.41939434,49.938,0.8,-0.94,-35.49,0.22
3.400,37.77505315,-122.41939435,49.927,0.8,-0.93,-35.48,0.20
3.433,37.77505465,-122.41939436,49.935,0.8,-0.91,-35.48,0.19
3.467,37.77505616,-122.41939438,50.059,0.8,-0.88,-35.47,0.18
3.500,37.77505766,-122.41939439,49.937,0.8,-0.86,-35.47,0.17
3.533,37.77505916,-122.41939441,50.043,0.8,-0.83,-35.46,0.15
3.567,37.77506066,-122.41939443,50.311,0.8,-0.80,-35.46,0.14
3.600,37.77506216,-122.41939445,50.131,0.8,-0.77,-35.45,0.13
3.633,37.77506366,-122.41939447,49.951,0.8,-0.74,-35.44,0.12
3.667,37.77506517,-122.41939450,50.180,0.8,-0.71,-35.43,0.10
3.700,37.77506667,-122.41939452,49.939,0.8,-0.67,-35.42,0.09
3.733,37.77506817,-122.41939455,49.694,0.8,-0.63,-35.41,0.08
3.767,37.77506967,-122.41939458,49.849,0.8,-0.59,-35.41,0.06
3.800,37.77507117,-122.41939461,49.719,0.8,-0.55,-35.40,0.05
3.833,37.77507267,-122.41939464,49.947,0.8,-0.51,-35.39,0.04
3.867,37.77507417,-122.41939467,50.003,0.8,-0.46,-35.37,0.02
3.900,37.77507568,-122.41939471,50.251,0.8,-0.42,-35.36,0.01
3.933,37.77507718,-122.41939474,50.049,0.8,-0.37,-35.35,-0.00
3.967,37.77507868,-122.41939478,49.967,0.8,-0.33,-35.34,-0.02
4.000,37.77508018,-122.41939482,50.124,0.8,-0.28,-35.33,-0.03
4.033,37.77508168,-122.41939486,49.668,0.8,-0.23,-35.31,-0.04
4.067,37.77508318,-122.41939490,50.035,0.8,-0.18,-35.30,-0.06
4.100,37.77508468,-122.41939494,50.116,0.8,-0.13,-35.29,-0.07
4.133,37.77508619,-122.41939499,49.778,0.8,-0.08,-35.27,-0.08
4.167,37.77508769,-122.41939503,50.172,0.8,-0.03,-35.26,-0.10
4.200,37.77508919,-122.41939508,50.051,0.8,0.02,-35.25,-0.11
4.233,37.77509069,-122.41939513,49.938,0.8,0.07,-35.23,-0.12
4.267,37.77509219,-122.41939518,50.095,0.8,0.12,-35.22,-0.13
4.300,37.77509369,-122.41939523,50.341,0.8,0.17,-35.20,-0.15
4.333,37.77509520,-122.41939528,50.027,0.8,0.22,-35.19,-0.16
4.367,37.77509670,-122.41939534,50.037,0.8,0.26,-35.17,-0.17
4.400,37.77509820,-122.41939539,49.931,0.8,0.31,-35.15,-0.18
4.433,37.77509970,-122.41939545,49.873,0.8,0.36,-35.14,-0.20
4.467,37.77510120,-122.41939551,50.125,0.8,0.40,-35.12,-0.21
4.500,37.77510270,-122.41939557,49.872,0.8,0.45,-35.11,-0.22
4.533,37.77510420,-122.41939563,50.011,0.8,0.49,-35.09,-0.23
4.567,37.77510571,-122.41939569,49.928,0.8,0.54,-35.07,-0.24
4.600,37.77510721,-122.41939575,50.072,0.8,0.58,-35.06,-0.26
4.633,37.77510871,-122.41939581,50.050,0.8,0.62,-35.04,-0.27
4.667,37.77511021,-122.41939588,50.156,0.8,0.66,-35.02,-0.28
4.700,37.77511171,-122.41939595,49.923,0.8,0.69,-35.01,-0.29
4.733,37.77511321,-122.41939601,49.960,0.8,0.73,-34.99,-0.30
4.767,37.77511471,-122.41939608,49.853,0.8,0.76,-34.97,-0.31
4.800,37.77511622,-122.41939615,49.933,0.8,0.79,-34.96,-0.32
4.833,37.77511772,-122.41939622,50.057,0.8,0.82,-34.94,-0.33
4.867,37.77511922,-122.41939629,50.114,0.8,0.85,-34.92,-0.34
4.900,37.77512072,-122.41939637,49.862,0.8,0.88,-34.91,-0.35
4.933,37.77512222,-122.41939644,50.130,0.8,0.90,-34.89,-0.36
4.967,37.77512372,-122.41939651,50.203,0.8,0.92,-34.87,-0.37
