timestamp,ax,ay,az,gx,gy,gz
0.000,0.01,0.02,9.81,0.001,0.002,0.000
0.033,0.01,0.02,9.81,0.001,0.002,0.000
0.067,0.01,0.02,9.81,0.001,0.002,0.000
0.100,0.01,0.02,9.81,0.001,0.002,0.000
0.133,0.01,0.02,9.81,0.001,0.002,0.000
0.167,0.01,0.02,9.81,0.001,0.002,0.000
0.200,0.01,0.02,9.81,0.001,0.002,0.000
0.233,0.01,0.02,9.81,0.001,0.002,0.000
0.267,0.01,0.02,9.81,0.001,0.002,0.000
0.300,0.01,0.02,9.81,0.001,0.002,0.000
0.333,0.01,0.02,9.81,0.001,0.002,0.000
0.367,0.01,0.02,9.81,0.001,0.002,0.000
0.400,0.01,0.02,9.81,0.001,0.002,0.000
0.433,0.01,0.02,9.81,0.001,0.002,0.000
0.467,0.01,0.02,9.81,0.001,0.002,0.000
0.500,0.01,0.02,9.81,0.001,0.002,0.000
0.533,0.01,0.02,9.81,0.001,0.002,0.000
0.567,0.01,0.02,9.81,0.001,0.002,0.000
0.600,0.01,0.02,9.81,0.001,0.002,0.000
0.633,0.01,0.02,9.81,0.001,0.002,0.000
0.667,0.01,0.02,9.81,0.001,0.002,0.000
0.700,0.01,0.02,9.81,0.001,0.002,0.000
0.733,0.01,0.02,9.81,0.001,0.002,0.000
0.767,0.01,0.02,9.81,0.001,0.002,0.000
0.800,0.01,0.02,9.81,0.001,0.002,0.000
0.833,0.01,0.02,9.81,0.001,0.002,0.000
0.867,0.01,0.02,9.81,0.001,0.002,0.000
0.900,0.01,0.02,9.81,0.001,0.002,0.000
0.933,0.01,0.02,9.81,0.001,0.002,0.000
0.967,0.01,0.02,9.81,0.001,0.002,0.000
1.000,0.01,0.02,9.81,0.001,0.002,0.000
1.033,0.01,0.02,9.81,0.001,0.002,0.000
1.067,0.01,0.02,9.81,0.001,0.002,0.000
1.100,0.01,0.02,9.81,0.001,0.002,0.000
1.133,0.01,0.02,9.81,0.001,0.002,0.000
1.167,0.01,0.02,9.81,0.001,0.002,0.000
1.200,0.01,0.02,9.81,0.001,0.002,0.000
1.233,0.01,0.02,9.81,0.001,0.002,0.000
1.267,0.01,0.02,9.81,0.001,0.002,0.000
1.300,0.01,0.02,9.81,0.001,0.002,0.000
1.333,0.01,0.02,9.81,0.001,0.002,0.000
1.367,0.01,0.02,9.81,0.001,0.002,0.000
1.400,0.01,0.02,9.81,0.001,0.002,0.000
1.433,0.01,0.02,9.81,0.001,0.002,0.000
